"ID";"Populatie";"KenmerkenVanHuishoudens";"RegioS";"Perioden";"ParticuliereHuishoudens_1";"GemiddeldGestandaardiseerdInkomen_3";"MediaanGestandaardiseerdInkomen_4"
"86";"1050010";"1050010";"PV22  ";"2020JJ00";"   218.5";"    30.9";"    28.3"
"88";"1050010";"1050010";"PV23  ";"2011JJ00";"   474.6";"    24.3";"    22.2"
"89";"1050010";"1050010";"PV23  ";"2012JJ00";"   477.9";"    24.5";"    22.4"
"90";"1050010";"1050010";"PV23  ";"2013JJ00";"   481.0";"    24.7";"    22.6"
"91";"1050010";"1050010";"PV23  ";"2014JJ00";"   480.0";"    26.0";"    23.3"
"92";"1050010";"1050010";"PV23  ";"2015JJ00";"   483.4";"    25.8";"    23.6"
"93";"1050010";"1050010";"PV23  ";"2016JJ00";"   486.6";"    26.9";"    24.6"
"94";"1050010";"1050010";"PV23  ";"2017JJ00";"   491.2";"    27.7";"    25.2"
"95";"1050010";"1050010";"PV23  ";"2018JJ00";"   495.0";"    28.0";"    25.6"
"96";"1050010";"1050010";"PV23  ";"2019JJ00";"   499.5";"    30.0";"    26.9"
"97";"1050010";"1050010";"PV23  ";"2020JJ00";"   503.9";"    30.7";"    28.0"
"99";"1050010";"1050010";"PV24  ";"2011JJ00";"   157.4";"    25.2";"    23.0"
"100";"1050010";"1050010";"PV24  ";"2012JJ00";"   159.9";"    25.1";"    23.1"
"101";"1050010";"1050010";"PV24  ";"2013JJ00";"   161.4";"    25.4";"    23.3"
"102";"1050010";"1050010";"PV24  ";"2014JJ00";"   162.2";"    26.5";"    24.0"
"103";"1050010";"1050010";"PV24  ";"2015JJ00";"   163.9";"    26.6";"    24.4"
"104";"1050010";"1050010";"PV24  ";"2016JJ00";"   165.4";"    27.7";"    25.5"
"105";"1050010";"1050010";"PV24  ";"2017JJ00";"   167.5";"    28.4";"    26.1"
"106";"1050010";"1050010";"PV24  ";"2018JJ00";"   169.6";"    28.9";"    26.7"
"107";"1050010";"1050010";"PV24  ";"2019JJ00";"   172.4";"    30.7";"    28.0"
"108";"1050010";"1050010";"PV24  ";"2020JJ00";"   175.4";"    31.5";"    29.2"
"110";"1050010";"1050010";"PV25  ";"2011JJ00";"   850.9";"    25.4";"    22.9"
"111";"1050010";"1050010";"PV25  ";"2012JJ00";"   859.1";"    25.6";"    23.1"
"112";"1050010";"1050010";"PV25  ";"2013JJ00";"   867.6";"    25.7";"    23.3"
"113";"1050010";"1050010";"PV25  ";"2014JJ00";"   871.5";"    27.1";"    24.0"
"114";"1050010";"1050010";"PV25  ";"2015JJ00";"   880.2";"    26.7";"    24.3"
"115";"1050010";"1050010";"PV25  ";"2016JJ00";"   886.8";"    27.8";"    25.3"
"116";"1050010";"1050010";"PV25  ";"2017JJ00";"   896.8";"    28.8";"    25.9"
